names;country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;uniqueid;hotel
Amna;Émirats arabes unis;Chambre Supérieure;3;Janvier 2023;Groupe;Commentaire envoyé le 19 janvier 2023;Très bien;8,0;;;0;AmnaÉmirats arabes unisChambre SupérieureJanvier 2023GroupeCommentaire envoyé le 19 janvier 2023Très bien;Newport_Bay_Club
Carole;France;Chambre Supérieure;2;Janvier 2023;Voyageur individuel;Commentaire envoyé le 19 janvier 2023;La magie même en dehors des parcs!;10;Le cadre était superbe, le personnel très agréable et la chambre très confortable;;0;CaroleFranceChambre SupérieureJanvier 2023Voyageur individuelCommentaire envoyé le 19 janvier 2023La magie même en dehors des parcs!;Newport_Bay_Club
Emab;Italie;Chambre Supérieure;1;Janvier 2023;Couple;Commentaire envoyé le 19 janvier 2023;Eccellente!;10;;;0;EmabItalieChambre SupérieureJanvier 2023CoupleCommentaire envoyé le 19 janvier 2023Eccellente!;Newport_Bay_Club
Virginie;France;Chambre Supérieure;1;Janvier 2023;Couple;Commentaire envoyé le 19 janvier 2023;Exceptionnel;10;Super !;Rien;0;VirginieFranceChambre SupérieureJanvier 2023CoupleCommentaire envoyé le 19 janvier 2023Exceptionnel;Newport_Bay_Club
Tim;Allemagne;Chambre Supérieure;3;Janvier 2023;Couple;Commentaire envoyé le 18 janvier 2023;es war ein netter Aufenthalt für die drei Übernachtungen, die wir vor Ort hatten, besser, als wenn wir ein auswärtiges H;7,0;;;0;TimAllemagneChambre SupérieureJanvier 2023CoupleCommentaire envoyé le 18 janvier 2023es war ein netter Aufenthalt für die drei Übernachtungen, die wir vor Ort hatten, besser, als wenn wir ein auswärtiges H;Newport_Bay_Club
Ilana;France;Chambre Supérieure;1;Janvier 2023;Couple;Commentaire envoyé le 18 janvier 2023;Fabuleux ;9,0;tout;rien;0;IlanaFranceChambre SupérieureJanvier 2023CoupleCommentaire envoyé le 18 janvier 2023Fabuleux ;Newport_Bay_Club
David;Royaume-Uni;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 18 janvier 2023;Bien ;7,0;;;0;DavidRoyaume-UniChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 18 janvier 2023Bien ;Newport_Bay_Club
Adriana;Brésil;Chambre Supérieure;2;Janvier 2023;Famille;Commentaire envoyé le 17 janvier 2023;Exceptionnel;10;;;0;AdrianaBrésilChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 17 janvier 2023Exceptionnel;Newport_Bay_Club
Vicky;Belgique;Chambre Supérieure;2;Janvier 2023;Couple;Commentaire envoyé le 17 janvier 2023;Sympa;8,0;Proche des parcs, possible de s'y rendre a pieds sans probleme.;Literie pas super confortable. Douche juste un rideau de douche, l'eau va partout...;0;VickyBelgiqueChambre SupérieureJanvier 2023CoupleCommentaire envoyé le 17 janvier 2023Sympa;Newport_Bay_Club
Vivien;Belgique;Chambre Supérieure - Côté Lac;1;Janvier 2023;Couple;Commentaire envoyé le 17 janvier 2023;Très bien placé mais très cher pour ce que c'est;4,0;La proximité avec les parcs;La qualité des lits, le confort de la chambre;0;VivienBelgiqueChambre Supérieure - Côté LacJanvier 2023CoupleCommentaire envoyé le 17 janvier 2023Très bien placé mais très cher pour ce que c'est;Newport_Bay_Club
Samantha;France;Chambre Supérieure - Côté Lac;1;Janvier 2023;Famille;Commentaire envoyé le 16 janvier 2023;Très bien;8,0;C’est juste incroyable comme dirai mon petit garçon de deux an wahou 🥰;Voir pendant 2 jours au sol plusieur plateau remplis de déchets et voir le personnel passer à côté et ne pas nettoyer.;0;SamanthaFranceChambre Supérieure - Côté LacJanvier 2023FamilleCommentaire envoyé le 16 janvier 2023Très bien;Newport_Bay_Club
Laura;Royaume-Uni;Chambre Supérieure;3;Janvier 2023;Famille;Commentaire envoyé le 16 janvier 2023;could do with updating but overall satisfied. expensive but so is everything else Disney!;6,0;;;0;LauraRoyaume-UniChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 16 janvier 2023could do with updating but overall satisfied. expensive but so is everything else Disney!;Newport_Bay_Club
Misbha;Royaume-Uni;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 16 janvier 2023;Mauvais;1,0;;;0;MisbhaRoyaume-UniChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 16 janvier 2023Mauvais;Newport_Bay_Club
Fábio;Portugal;Chambre Supérieure;3;Janvier 2023;Famille;Commentaire envoyé le 16 janvier 2023;Exceptionnel;10;;;0;FábioPortugalChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 16 janvier 2023Exceptionnel;Newport_Bay_Club
Anonyme;France;;1;Janvier 2023;Famille;Commentaire envoyé le 15 janvier 2023;Très bien;8,0;;;0;AnonymeFrancenanJanvier 2023FamilleCommentaire envoyé le 15 janvier 2023Très bien;Newport_Bay_Club
Lars;Allemagne;Chambre Supérieure;2;Janvier 2023;Couple;Commentaire envoyé le 15 janvier 2023;Fabuleux ;9,0;;;0;LarsAllemagneChambre SupérieureJanvier 2023CoupleCommentaire envoyé le 15 janvier 2023Fabuleux ;Newport_Bay_Club
Fahad;Arabie saoudite;Chambre Supérieure avec Terrasse;1;Novembre 2022;Famille;Commentaire envoyé le 15 janvier 2023;زيارتي الثانيه للفندق ساعود اليه مره اخرى;10;;;0;FahadArabie saouditeChambre Supérieure avec TerrasseNovembre 2022FamilleCommentaire envoyé le 15 janvier 2023زيارتي الثانيه للفندق ساعود اليه مره اخرى;Newport_Bay_Club
Richard;France;Chambre Club Compass (2 Adultes);1;Janvier 2023;Couple;Commentaire envoyé le 14 janvier 2023;Agréable;6,0;;;0;RichardFranceChambre Club Compass (2 Adultes)Janvier 2023CoupleCommentaire envoyé le 14 janvier 2023Agréable;Newport_Bay_Club
Tarin;Brésil;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 14 janvier 2023;Exceptionnel;10;;;0;TarinBrésilChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 14 janvier 2023Exceptionnel;Newport_Bay_Club
Cynthia;France;Chambre Supérieure;1;Janvier 2023;Groupe;Commentaire envoyé le 14 janvier 2023;Bien ;7,0;Le style et la décoration de l hôtel mais surtout l extérieur et la reception;"Le standing , je pensais que les prestations auraient été supérieures telles que room service et plus d accompagnement en chambres, bagagerie ..
Peut être le 4* n était pas assez pour mes attentes je le classerai en 3* + . Il y a beaucoup de monde qui se bousculent dans le hall et les couloirs.
Les couloirs sont interminables . Il n y a pas assez d ascenseurs pour ce nombre élevés de chambres et d étages mais le personnel est tellement serviables et gentils.. disons que la logistique est un peu moyenne simplement.";0;CynthiaFranceChambre SupérieureJanvier 2023GroupeCommentaire envoyé le 14 janvier 2023Bien ;Newport_Bay_Club
Gwladys;Nouvelle-Calédonie;Chambre Supérieure;3;Janvier 2023;Famille;Commentaire envoyé le 14 janvier 2023;personnel très à l’écoute, chambre propre;8,0;la proximité avec le par Disneyland Paris;trop brouillant;0;GwladysNouvelle-CalédonieChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 14 janvier 2023personnel très à l’écoute, chambre propre;Newport_Bay_Club
Mgardies;France;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 14 janvier 2023;Bel hôtel mais chambres à moderniser;8,0;Les espaces communs beaux et propres, l'accueil du personnel de l'hôtel, la proximité du parc Disneyland;Le manque de modernité des chambres, des défauts de finition et/ou d'entretien pour un prix qui reste élevé;0;MgardiesFranceChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 14 janvier 2023Bel hôtel mais chambres à moderniser;Newport_Bay_Club
Joël;France;Chambre Supérieure - Côté Lac;2;Janvier 2023;Couple;Commentaire envoyé le 14 janvier 2023;Très déçu par la diminution de qualité j’avais connu cet hôtel il y a 10 ans…☹️;5,0;la literie;Accueil froid, informatique défectueux, attribution de la chambre après 18h par SMS……;0;JoëlFranceChambre Supérieure - Côté LacJanvier 2023CoupleCommentaire envoyé le 14 janvier 2023Très déçu par la diminution de qualité j’avais connu cet hôtel il y a 10 ans…☹️;Newport_Bay_Club
Sebastien;France;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 14 janvier 2023;Fabuleux ;9,0;;;0;SebastienFranceChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 14 janvier 2023Fabuleux ;Newport_Bay_Club
Nathalie;Belgique;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 13 janvier 2023;Très bien;8,0;;;0;NathalieBelgiqueChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 13 janvier 2023Très bien;Newport_Bay_Club
Morgane;France;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 13 janvier 2023;Très bien;8,0;;;0;MorganeFranceChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 13 janvier 2023Très bien;Newport_Bay_Club
Sharon;Israël;Chambre Supérieure;2;Décembre 2022;Famille;Commentaire envoyé le 13 janvier 2023;Bien ;7,0;;;0;SharonIsraëlChambre SupérieureDécembre 2022FamilleCommentaire envoyé le 13 janvier 2023Bien ;Newport_Bay_Club
Annalisa;Italie;Chambre Supérieure;1;Janvier 2023;Couple;Commentaire envoyé le 13 janvier 2023;Bien ;7,0;;;0;AnnalisaItalieChambre SupérieureJanvier 2023CoupleCommentaire envoyé le 13 janvier 2023Bien ;Newport_Bay_Club
Deborah;Israël;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 13 janvier 2023;Exceptionnel;10;magnifique;serviette très rêche et baignoire boucher;0;DeborahIsraëlChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 13 janvier 2023Exceptionnel;Newport_Bay_Club
Sally;Royaume-Uni;Chambre Supérieure;2;Janvier 2023;Famille;Commentaire envoyé le 13 janvier 2023;our room wasn’t that good and it was cold not worth the money;3,0;;;0;SallyRoyaume-UniChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 13 janvier 2023our room wasn’t that good and it was cold not worth the money;Newport_Bay_Club
Laura;France;Chambre Supérieure;1;Janvier 2023;Groupe;Commentaire envoyé le 12 janvier 2023;Notre séjour était bien;9,0;Nous avions une très jolie chambre avec un balcon et une vue sur le parc Walt Disney studio ainsi que le parc Disneyland. L’hôtel est prêt des parcs et de la vallée village.;Les agents de sécurité à l’entrée de l’hôtel sont tous adorable. En revanche le personnel de l’hôtel c’est une autres choses… nous avons l’impression de les déranger… Choses problématiques quand il faut s’enregistrer nous n’avons d’autre choix que demander afin d’avoir nos magic pass pour la chambre etc… puis à chaque fois que nous croisions le personnel durant notre séjour instinctivement nous disions bonjour (ce qui est pour moi la base) mais personne ne nous répondait… tous dans le « Speed » ou le mécontentement de travailler !;0;LauraFranceChambre SupérieureJanvier 2023GroupeCommentaire envoyé le 12 janvier 2023Notre séjour était bien;Newport_Bay_Club
Niccolò;Italie;Chambre Supérieure;2;Janvier 2023;Famille;Commentaire envoyé le 12 janvier 2023;Agréable;6,0;;;0;NiccolòItalieChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 12 janvier 2023Agréable;Newport_Bay_Club
Vera;France;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 12 janvier 2023;Très bien;8,0;;;0;VeraFranceChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 12 janvier 2023Très bien;Newport_Bay_Club
Brian;États-Unis;Chambre Supérieure - Côté Lac;3;Janvier 2023;Famille;Commentaire envoyé le 12 janvier 2023;Unfortunately not worth what you pay;3,0;;;0;BrianÉtats-UnisChambre Supérieure - Côté LacJanvier 2023FamilleCommentaire envoyé le 12 janvier 2023Unfortunately not worth what you pay;Newport_Bay_Club
Jieyang;Royaume-Uni;Chambre Supérieure;1;Janvier 2023;Voyageur individuel;Commentaire envoyé le 11 janvier 2023;Bien ;7,0;;;0;JieyangRoyaume-UniChambre SupérieureJanvier 2023Voyageur individuelCommentaire envoyé le 11 janvier 2023Bien ;Newport_Bay_Club
Nermin;Belgique;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 11 janvier 2023;magique magnifique;9,0;tous;;0;NerminBelgiqueChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 11 janvier 2023magique magnifique;Newport_Bay_Club
Teresa;Royaume-Uni;Chambre Supérieure;3;Janvier 2023;Famille;Commentaire envoyé le 11 janvier 2023;Très bien;8,0;;;0;TeresaRoyaume-UniChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 11 janvier 2023Très bien;Newport_Bay_Club
Angela;Allemagne;Chambre Supérieure;2;Janvier 2023;Groupe;Commentaire envoyé le 11 janvier 2023;Schönes Hotel, mit guter Lage, aber schlechtem Kundenservice.;3,0;;;0;AngelaAllemagneChambre SupérieureJanvier 2023GroupeCommentaire envoyé le 11 janvier 2023Schönes Hotel, mit guter Lage, aber schlechtem Kundenservice.;Newport_Bay_Club
Bruno;France;Chambre Supérieure;1;Décembre 2022;Famille;Commentaire envoyé le 11 janvier 2023;Très bien;8,0;;;0;BrunoFranceChambre SupérieureDécembre 2022FamilleCommentaire envoyé le 11 janvier 2023Très bien;Newport_Bay_Club
Dorien;Belgique;Chambre Supérieure;2;Janvier 2023;Famille;Commentaire envoyé le 10 janvier 2023;Exceptionnel;10;;;0;DorienBelgiqueChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 10 janvier 2023Exceptionnel;Newport_Bay_Club
Jacqui;Royaume-Uni;Chambre Supérieure;4;Janvier 2023;Famille;Commentaire envoyé le 10 janvier 2023;Exceptionnel;10;;;0;JacquiRoyaume-UniChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 10 janvier 2023Exceptionnel;Newport_Bay_Club
Daphné;France;Chambre Supérieure;1;Janvier 2023;Groupe;Commentaire envoyé le 10 janvier 2023;Un rêve éveillé.;10;J’ai tout apprécié, le séjour était exceptionnel.;Le prix est assez conséquent.;0;DaphnéFranceChambre SupérieureJanvier 2023GroupeCommentaire envoyé le 10 janvier 2023Un rêve éveillé.;Newport_Bay_Club
Lucien;France;Chambre Supérieure - Côté Lac;1;Janvier 2023;Famille;Commentaire envoyé le 10 janvier 2023;A faire;8,0;Hôtel très jolie, personnel agréable, super vue de la chambre.;"Chambre pas très propre (chaussette d'autres personnes sous le lit et chips par terre).
Manque des joints dans la douche qui fuit de partout.
Petit déjeuner vraiment trop chère pour les enfants de 10 et 5 ans (qui ne mange presque rien).";1 ;LucienFranceChambre Supérieure - Côté LacJanvier 2023FamilleCommentaire envoyé le 10 janvier 2023A faire;Newport_Bay_Club
Stella;France;Chambre Supérieure - Côté Lac;1;Janvier 2023;Famille;Commentaire envoyé le 10 janvier 2023;déçue car j’avais demandé une petite attention car le séjour était pour l’anniversaire de notre fils est : RIEN pas même;7,0;"l’accueil était parfait 
la décoration également";"l’emplacement de la chambre. nous étions certes côté lac mais à l’extrémité de l’aile côté piscine derrière des sapins qui nous ne donne aucune vue!
pas très cool !";0;StellaFranceChambre Supérieure - Côté LacJanvier 2023FamilleCommentaire envoyé le 10 janvier 2023déçue car j’avais demandé une petite attention car le séjour était pour l’anniversaire de notre fils est : RIEN pas même;Newport_Bay_Club
Simone;Australie;Chambre Supérieure - Côté Lac;3;Janvier 2023;Famille;Commentaire envoyé le 10 janvier 2023;Mauvais;1,0;;;0;SimoneAustralieChambre Supérieure - Côté LacJanvier 2023FamilleCommentaire envoyé le 10 janvier 2023Mauvais;Newport_Bay_Club
Telmo;Suisse;Chambre Supérieure - Côté Lac;1;Janvier 2023;Couple;Commentaire envoyé le 9 janvier 2023;Décevant;4,0;;;0;TelmoSuisseChambre Supérieure - Côté LacJanvier 2023CoupleCommentaire envoyé le 9 janvier 2023Décevant;Newport_Bay_Club
Gatosg;Grèce;Chambre Supérieure - Côté Lac;3;Janvier 2023;Famille;Commentaire envoyé le 9 janvier 2023;Exceptionnel;10;;;0;GatosgGrèceChambre Supérieure - Côté LacJanvier 2023FamilleCommentaire envoyé le 9 janvier 2023Exceptionnel;Newport_Bay_Club
Noura;Koweït;Chambre Supérieure;3;Janvier 2023;Famille;Commentaire envoyé le 9 janvier 2023;the room was not clean well the stuff welcomed wasn’t great;4,0;;;0;NouraKoweïtChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 9 janvier 2023the room was not clean well the stuff welcomed wasn’t great;Newport_Bay_Club
Dauchat;Belgique;Chambre Supérieure;1;Janvier 2023;Groupe;Commentaire envoyé le 9 janvier 2023;Très bien;8,0;;;0;DauchatBelgiqueChambre SupérieureJanvier 2023GroupeCommentaire envoyé le 9 janvier 2023Très bien;Newport_Bay_Club
Mauro;Italie;Chambre Supérieure - Côté Lac;2;Janvier 2023;Famille;Commentaire envoyé le 9 janvier 2023;Exceptionnel;10;;;0;MauroItalieChambre Supérieure - Côté LacJanvier 2023FamilleCommentaire envoyé le 9 janvier 2023Exceptionnel;Newport_Bay_Club
Jean-marc;France;Chambre Supérieure;2;Janvier 2023;Couple;Commentaire envoyé le 8 janvier 2023;Exceptionnel;10;;;0;Jean-marcFranceChambre SupérieureJanvier 2023CoupleCommentaire envoyé le 8 janvier 2023Exceptionnel;Newport_Bay_Club
Jose;Brésil;Chambre Supérieure;3;Janvier 2023;Famille;Commentaire envoyé le 8 janvier 2023;Já ficamos em outros hotéis da Disney, esse nao compensa o custo benefício pela desorganização e a multidão de gente que;4,0;;;0;JoseBrésilChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 8 janvier 2023Já ficamos em outros hotéis da Disney, esse nao compensa o custo benefício pela desorganização e a multidão de gente que;Newport_Bay_Club
Marco;Italie;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 7 janvier 2023;Delusione;5,0;;;0;MarcoItalieChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 7 janvier 2023Delusione;Newport_Bay_Club
Sadeka;Israël;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 7 janvier 2023;Exceptionnel;10;;;0;SadekaIsraëlChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 7 janvier 2023Exceptionnel;Newport_Bay_Club
Paula;Australie;Chambre Supérieure;2;Janvier 2023;Famille;Commentaire envoyé le 7 janvier 2023;Très bien;8,0;;;0;PaulaAustralieChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 7 janvier 2023Très bien;Newport_Bay_Club
Amin;Israël;Chambre Supérieure;3;Janvier 2023;Famille;Commentaire envoyé le 6 janvier 2023;Agréable;6,0;;;0;AminIsraëlChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 6 janvier 2023Agréable;Newport_Bay_Club
Makiko;Japon;Chambre Supérieure;1;Décembre 2022;Famille;Commentaire envoyé le 6 janvier 2023;施設リニューアル必要;5,0;;;0;MakikoJaponChambre SupérieureDécembre 2022FamilleCommentaire envoyé le 6 janvier 2023施設リニューアル必要;Newport_Bay_Club
山下;France;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 6 janvier 2023;Très bien;8,0;;;0;山下FranceChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 6 janvier 2023Très bien;Newport_Bay_Club
Natalia;Espagne;Chambre Supérieure - Côté Lac;1;Janvier 2023;Famille;Commentaire envoyé le 6 janvier 2023;Très bien;8,0;;;0;NataliaEspagneChambre Supérieure - Côté LacJanvier 2023FamilleCommentaire envoyé le 6 janvier 2023Très bien;Newport_Bay_Club
Ludivine;France;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 6 janvier 2023;bien mais sans plus;5,0;décor;pas très propre bouteille d eau dans les couloirs et assiettes et tapis sales;0;LudivineFranceChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 6 janvier 2023bien mais sans plus;Newport_Bay_Club
Robin;Belgique;Chambre Supérieure;1;Janvier 2023;Couple;Commentaire envoyé le 6 janvier 2023;Fabuleux ;9,0;;;0;RobinBelgiqueChambre SupérieureJanvier 2023CoupleCommentaire envoyé le 6 janvier 2023Fabuleux ;Newport_Bay_Club
Nathalie;France;Chambre Supérieure;2;Décembre 2022;Famille;Commentaire envoyé le 5 janvier 2023;super mais le prix de l hôtel est trop important alors qu il est vieillissant;7,0;le buffet. la localisation;propreté;1 ;NathalieFranceChambre SupérieureDécembre 2022FamilleCommentaire envoyé le 5 janvier 2023super mais le prix de l hôtel est trop important alors qu il est vieillissant;Newport_Bay_Club
John;Malte;Chambre Supérieure;1;Décembre 2022;Famille;Commentaire envoyé le 5 janvier 2023;Bien ;7,0;;;0;JohnMalteChambre SupérieureDécembre 2022FamilleCommentaire envoyé le 5 janvier 2023Bien ;Newport_Bay_Club
Jeffrey;Allemagne;Chambre Supérieure;1;Octobre 2022;Famille;Commentaire envoyé le 5 janvier 2023;Exceptionnel;10;;;0;JeffreyAllemagneChambre SupérieureOctobre 2022FamilleCommentaire envoyé le 5 janvier 2023Exceptionnel;Newport_Bay_Club
Centa;Belgique;Chambre Supérieure;2;Janvier 2023;Famille;Commentaire envoyé le 5 janvier 2023;Exceptionnel;10;;;0;CentaBelgiqueChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 5 janvier 2023Exceptionnel;Newport_Bay_Club
Anonyme;France;;1;Janvier 2023;Famille;Commentaire envoyé le 4 janvier 2023;magique;10;toroi bien;;0;AnonymeFrancenanJanvier 2023FamilleCommentaire envoyé le 4 janvier 2023magique;Newport_Bay_Club
Karim;Maroc;Chambre Supérieure;1;Octobre 2022;Famille;Commentaire envoyé le 3 janvier 2023;Fabuleux ;9,0;;;0;KarimMarocChambre SupérieureOctobre 2022FamilleCommentaire envoyé le 3 janvier 2023Fabuleux ;Newport_Bay_Club
